Kata Tidak Baku,Kata Baku
pake,pakai
pakek,pakai
pake2,pakai-pakai
pakenya,pakainya
pakean,pakaian
makai,memakai
pakein,pakaikan
tp,tapi
tpi,tapi
krn,karena
karna,karena
malahan,malah
kalo,kalau
klo,kalau
kl,kalau
kalauu,kalau
dri,dari
dr,dari
sma,sama
sm,sama
ama,sama
sampek,sampai
brp,berapa
utk,untuk
untk,untuk
buat,untuk
bwt,untuk
bt,untuk
jgn,jangan
jangan2,jangan-jangan
sdh,sudah
suda,sudah
udah,sudah
dah,sudah
dh,sudah
udh,sudah
u3,sudah
blm,belum
belom,belum
blom,belum
lom,belum
lemot,lambat
lelet,lambat
lag,lambat
ngelag,lambat
error,galat
eror,galat
bug,gangguan
bermasalah,masalah
kesulitan,sulit
kemudahan,mudah
bisaa,bisa
bisa2,bisa-bisa
bsa,bisa
bisaaa,bisa
lg,lagi
lgi,lagi
lagii,lagi
aja,saja
juga,juga
jg,juga
jga,juga
plis,tolong
please,tolong
mohon,mohon
moga,semoga
moga2,semoga
smg,semoga
moga-moga,semoga
gimana,bagaimana
gmn,bagaimana
bgmn,bagaimana
bagaimanakah,bagaimana
kenapa,mengapa
knp,mengapa
napa,mengapa
ngapa,mengapa
dimana,di mana
dmn,di mana
ke,ke
kemana,ke mana
kmn,ke mana
kemana2,ke mana-mana
siapa,siapa
sapa,siapa
siape,siapa
apapun,apa pun
ap2,apa-apa
mimin,admin
min,admin
adminnya,adminnya
cs,layanan pelanggan
cust,pelanggan
customer,pelanggan
seller,penjual
buyer,pembeli
pengiriman,kirim
kiriman,kirim
dikirim,kirim
ngirim,mengirim
transfer,transfer
tf,transfer
pembayaran,bayar
dibayar,bayar
bayarnya,bayarnya
notif,notifikasi
notifikasi,notifikasi
keluhan,keluh
komplain,komplain
complain,komplain
komplen,komplain
mantap,bagus
mantul,bagus
sip,bagus
siiap,siap
top,bagus
ok,oke
okay,oke
oke,oke
okey,oke
sip,bagus
sip2,bagus
bgs,bagus
bagusss,bagus
bagus2,bagus
rekomended,rekomendasi
rekomen,rekomendasi
recommended,rekomendasi
rekomendasi,rekomendasi
suka,suka
suka2,suka-suka
suka banget,sangat suka
senang,senang
sennang,senang
kecewa,kecewa
kecewaa,kecewa
kecewa berat,sangat kecewa
parah,parah
parahhh,parah
rusak,rusak
jelek,buruk
buruk,buruk
jelek banget,sangat buruk
jelek2,buruk-buruk
ancur,hancur
hancur,hancur
kapok,kapok
nyesel,menyesal
penyesalan,menyesal
malah,malah
malahh,malah
gagal,gagal
gagal2,gagal
lemottt,lambat
lambat,lambat
respon,respons
response,respons
responnya,responsnya
balas,balas
dibalas,balas
dibalasnya,balasnya
fast,cepat
fast respon,respons cepat
fast response,respons cepat
slow,lambat
slow respon,respons lambat
slow response,respons lambat
ramah,ramah
ramah2,ramah
sopan,sopan
jutek,jutek
