Kata Tidak Baku,Kata Baku
gk,tidak
ga,tidak
gak,tidak
nggak,tidak
enggak,tidak
kagak,tidak
kgk,tidak
tdk,tidak
tak,tidak
bkn,bukan
bukn,bukan
dr,dari
dri,dari
sm,sama
sma,sama
ama,sama
sy,saya
gw,saya
gue,saya
gua,saya
ane,saya
akuh,saya
aq,saya
ak,saya
sya,saya
km,kamu
kmu,kamu
loe,kamu
lu,kamu
elu,kamu
ente,kamu
u,kamu
qmu,kamu
dy,dia
diaa,dia
doi,dia
beliauu,beliau
mrk,mereka
mreka,mereka
kalian2,kalian
org,orang
orng,orang
org2,orang-orang
bgt,banget
bgtt,banget
bangettt,banget
bnr,benar
bner,benar
bnrn,benar
btul,betul
yg,yang
ygk,yang
ygmn,bagaimana
gmn,bagaimana
gmnnih,bagaimana
gmna,bagaimana
bgmn,bagaimana
knp,kenapa
kenp,kenapa
knpa,kenapa
krn,karena
karna,karena
krna,karena
sdh,sudah
udh,sudah
uda,sudah
udhh,sudah
blm,belum
lom,belum
belom,belum
blom,belum
trs,terus
trs2an,terus-terusan
truz,terus
aja,saja
aj,saja
ajh,saja
doang,saja
tok,saja
cuma,hanya
cm,hanya
cmn,hanya
hny,hanya
tp,tetapi
tpi,tetapi
tapii,tetapi
btw,ngomong-ngomong
jd,jadi
jdnya,jadinya
jdi,jadi
jdh,jadi
krg,kurang
kurng,kurang
sdkt,sedikit
dkit,sedikit
skit,sedikit
bsk,besok
bsok,besok
kemrn,kemarin
kmrn,kemarin
skrg,sekarang
skrng,sekarang
sekrg,sekarang
ntar,nanti
entar,nanti
nti,nanti
ntr,nanti
mlm,malam
pgi,pagi
siank,siang
soree,sore
dlu,dulu
dl,dulu
trsny,terusnya
plg,pulang
brgkt,berangkat
smpe,sampai
ampe,sampai
sampe,sampai
nyampe,sampai
dpt,dapat
dapet,dapat
dpet,dapat
ptg,penting
pntg,penting
msh,masih
masi,masih
mshh,masih
udhah,sudah
bsa,bisa
bisaa,bisa
isa,bisa
gbs,tidak bisa
gabisa,tidak bisa
gkbs,tidak bisa
mauu,mau
mo,mau
mw,mau
pgn,ingin
pngn,ingin
kepgn,ingin
syg,sayang
sayank,sayang
cintaa,cinta
ksh,kasih
mksh,terima kasih
makasih,terima kasih
makasi,terima kasih
thx,terima kasih
tq,terima kasih
ty,terima kasih
sory,maaf
sorry,maaf
maf,maaf
maap,maaf
mff,maaf
pls,tolong
plis,tolong
tololll,tolol
anj,anjing
anjg,anjing
anjir,anjing
anjay,anjing
anjim,anjing
bgst,bangsat
bgsd,bangsat
bangke,bangkai
kampretz,kampret
sialanx,sialan
wtf,apa ini
lol,tertawa
wkwk,tertawa
wkwkwk,tertawa
wkwwk,tertawa
hehe,tertawa
xixi,tertawa
awokwok,tertawa
kwkw,tertawa
hahaha,tertawa
otw,sedang dalam perjalanan
cmiiw,koreksi jika saya salah
imo,menurut saya
imho,menurut saya
fyi,untuk informasi
asap,sesegera mungkin
rip,beristirahat dalam damai
idk,saya tidak tahu
idc,saya tidak peduli
ikr,saya juga berpikir demikian
tbh,sejujurnya
afaik,setahu saya
omg,ya Tuhan
lmao,tertawa terbahak-bahak
brb,segera kembali
afk,tidak berada di depan perangkat
dm,pesan langsung
pm,pesan pribadi
ss,tangkapan layar
pc,percakapan pribadi
vc,panggilan video
gc,grup percakapan
pmn,permainan
mabar,main bersama
mbois,keren
mantul,mantap betul
mantapjiwa,mantap
kuy,ayo
yuks,ayo
cus,ayo
gas,ayo
gass,ayo
gaskan,mulai
hayuk,ayo
skuy,ayo
letsgo,ayo
ayok,ayo
yuklah,ayo
mager,malas bergerak
gabut,tidak ada kegiatan
gabutz,tidak ada kegiatan
gabisaa,tidak bisa
gabener,tidak benar
julid,iri hati
julit,suka mencela
nyinyir,suka mencela
halu,berkhayal
halusinasi,berkhayal
bucin,budak cinta
sobatmisqueen,orang kurang mampu
miskinclub,orang kurang mampu
sultan,orang kaya
crazyrich,orang kaya
cogan,cowok tampan
cecan,cewek cantik
cewek,perempuan
cowok,laki-laki
cwk,cewek
doiii,dia
bestie,sahabat
besti,sahabat
besty,sahabat
sob,sahabat
sobat,teman
bro,saudara
broh,saudara
sis,saudari
gan,juragan
agan,juragan
jurig,hantu
mimin,admin
min,admin
momod,moderator
mod,moderator
netijen,warganet
netizen,warganet
warganettt,warganet
nitip,menitipkan
nitipsendal,mengikuti diskusi
kepo,ingin tahu
kepoan,terlalu ingin tahu
stalking,mengamati
ngepoin,mencari tahu
ngerumpi,bergosip
gosipin,membicarakan
spill,bagikan informasi
spilldong,bagikan informasi
spilll,bagikan informasi
flexing,pamer
pansos,panjat sosial
sokap,sok akrab
soktau,sok tahu
sotoy,sok tahu
songong,sombong
jumawa,sombong
lebay,berlebihan
alay,norak
norakkk,norak
receh,lucu sederhana
lawak,lucu
ngakak,tertawa
ketawa,tertawa
cekikikan,tertawa
pecah,sangat lucu
pecahbanget,sangat lucu
gemoy,menggemaskan
gemes,gemas
gemayy,menggemaskan
uwu,menggemaskan
rawrr,menggemaskan
imutz,imut
imuttt,imut
lucuu,lucu
lucuk,lucu
cantikk,cantik
gantengg,ganteng
kereenn,keren
kereeenn,keren
mantapp,mantap
mantaaap,mantap
sippp,baik
okeh,baik
okey,baik
okee,baik
okedeh,baik
oksip,baik
siplah,baik
sipdeh,baik
cihuy,senang
asyik,menyenangkan
asik,menyenangkan
asique,menyenangkan
seruuy,menyenangkan
yahh,ya
iyah,ya
iyaa,ya
iyes,ya
yoi,ya
yup,ya
yaps,ya
betulll,betul
betull,betul
siapp,siap
siappp,siap
siapbos,siap
siapgan,siap
amanah,aman
amanin,amankan
amanbro,aman
beresin,selesaikan
beres,selesai
kelar,selesai
kelarr,selesai
selow,santai
slow,santai
santuy,santai
sans,santai
nyantai,bersantai
rebahan,berbaring
rebahanterus,berbaring
nongki,berkumpul
nongkrong,berkumpul
ngopi,minum kopi
ngemil,makan camilan
mukbang,siaran makan
healing,menenangkan diri
staycation,berlibur singkat
travelling,bepergian
trip,perjalanan
cabs,pergi
cabut,pergi
otwyy,sedang dalam perjalanan
cuslah,ayo pergi
ngacir,lari
kaburrr,kabur
meluncur,berangkat
gaskeun,mulai
jom,ayo
monggo,silakan
monggoh,silakan
silahkeun,silakan
punten,permisi
maturtengkyu,terima kasih
thxbro,terima kasih
makacih,terima kasih
tenkyu,terima kasih
tengkyu,terima kasih
terimakacih,terima kasih
syap,siap
sap,siap
yuuk,ayo
yuuks,ayo
ayoook,ayo
cuskeun,ayo pergi
gaspol,mulai sepenuhnya
gokil,luar biasa
gilak,luar biasa
gilsss,luar biasa
edan,luar biasa
edun,luar biasa
epic,luar biasa
legend,legendaris
legit,asli
valid,benar
real,nyata
ril,minimalisasi: nyata
relate,berhubungan
relatable,mudah dipahami
deep,mendalam
mindblowing,menakjubkan
mindset,pola pikir
cringe,memalukan
awkward,canggung
random,acak
worthit,sepadan
worthitbanget,sangat sepadan
unfaedah,tidak bermanfaat
fyp,halaman rekomendasi
fypdong,masuk halaman rekomendasi
fypp,halaman rekomendasi
viral,terkenal luas
viralbanget,sangat viral
trending,sedang populer
trendingtopik,topik populer
up,naikkan
upin,naikkan
updong,naikkan
bump,naikkan
repost,unggah ulang
reupload,unggah ulang
retweet,bagikan ulang
retwit,bagikan ulang
rt,bagikan ulang
qrt,kutip unggahan
thread,utas
trit,utas
captionn,keterangan
capt,keterangan
feed,beranda
instastory,cerita Instagram
story,cerita
sw,status WhatsApp
snap,foto singkat
snapgram,cerita Instagram
live,siaran langsung
livenya,siaran langsung
streaming,siaran
stream,siaran
podcast,siniar
podkes,siniar
konten,isi
content,isi
creator,pembuat konten
influencer,pemengaruh
selebgram,selebritas Instagram
youtuber,pembuat video YouTube
streamer,penyiar daring
subscriber,pelanggan
subs,pelanggan
follback,ikuti balik
folbek,ikuti balik
fb,ikuti balik
followers,pengikut
follower,pengikut
fol,pengikut
unfol,berhenti mengikuti
unfollow,berhenti mengikuti
like,suka
likes,suka
liked,disukai
dislike,tidak suka
komen,komentar
komennya,komentar
comen,komentar
comment,komentar
share,bagikan
sharing,berbagi
save,simpan
saved,disimpan
bookmark,penanda
notif,notifikasi
notifnya,notifikasi
notifin,beri tahu
mute,bisukan
unmute,aktifkan suara
block,blokir
blok,blokir
unblock,buka blokir
report,laporkan
reported,dilaporkan
spam,pesan sampah
spammm,pesan sampah
